full_name,affilitation,code,family_name,wage,declaration_web
ROMAGNOLI Sergio,M5S,32704,Romagnoli,101107,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Romagnoli_2021.pdf?
ROMANI Paolo,Misto,2064,Romani,125632,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Romani_2021.pdf?
ROMANO Iunio Valerio,M5S,32705,Romano,102091,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Romano_2021.pdf?
ROMEO Massimiliano,L-SP-PSd'Az,32706,Romeo,102397,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Romeo_2021.pdf?
RONZULLI Licia,FIBP-UDC,32707,Ronzulli,126528,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Ronzulli_2021.pdf?
ROSSI Mariarosaria,Misto,25412,Rossi,99699,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Rossi_2021.pdf?
ROSSOMANDO Anna,PD,25411,Rossomando,145490,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Rossomando_2021.pdf?
SACCONE Antonio,FIBP-UDC,31157,Saccone,110369,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Saccone_2021.pdf?
SALVINI Matteo,L-SP-PSd'Az,25407,Salvini,99699,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Salvini_2021.pdf?
SANTANGELO Vincenzo,M5S,29174,Santangelo,99889,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Santangelo_2021.pdf?
SANTILLO Agostino,M5S,32710,Santillo,102815,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Santillo_2021.pdf?
SAPONARA Maria,L-SP-PSd'Az,32711,Saponara,99699,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Saponara_2021.pdf?
SAVIANE Paolo,,32712,Saviane,,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Saviane_2021.pdf?
SBRANA Rosellina,UpC-CAL-Alt-PC-AI-Pr.SMART-IdV,32713,Sbrana,95525,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Sbrana_2021.pdf?
